epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8237.12,0.50581,0.92547,1.20654,0.87074,0.8467,0.88086,0.72309,0.75496,1.2356,1.4962,0.00023764,0.00023764,0.00023764
43,8430.82,0.53347,0.92603,1.21134,0.83264,0.85229,0.8941,0.69015,0.85676,1.32856,1.62763,0.00023368,0.00023368,0.00023368
44,8623.67,0.50295,0.9023,1.19626,0.89082,0.90149,0.93101,0.73169,0.82485,1.22376,1.58964,0.00022972,0.00022972,0.00022972
45,8818.79,0.49672,0.88468,1.18319,0.84908,0.90293,0.92059,0.73591,0.79606,1.15666,1.51744,0.00022576,0.00022576,0.00022576
46,9013.33,0.48946,0.88569,1.1756,0.77909,0.87667,0.90598,0.69958,0.87854,1.22083,1.64229,0.0002218,0.0002218,0.0002218
47,9207.25,0.50476,0.88231,1.19772,0.79672,0.91966,0.92082,0.71058,0.8712,1.14642,1.60335,0.00021784,0.00021784,0.00021784
48,9402.47,0.51035,0.85178,1.20329,0.85934,0.86252,0.89802,0.69866,0.88956,1.24784,1.58825,0.00021388,0.00021388,0.00021388
49,9597.4,0.51032,0.8181,1.18943,0.86975,0.85203,0.88509,0.6866,0.89471,1.23813,1.65279,0.00020992,0.00020992,0.00020992
50,9792.84,0.48462,0.84114,1.18173,0.88947,0.88799,0.90864,0.72633,0.78298,1.13939,1.52785,0.00020596,0.00020596,0.00020596
51,9986.82,0.50342,0.80893,1.18106,0.88537,0.85769,0.91743,0.73889,0.81673,1.17652,1.528,0.000202,0.000202,0.000202
52,10180,0.46343,0.80149,1.16151,0.79531,0.86433,0.90202,0.72106,0.82117,1.20141,1.54721,0.00019804,0.00019804,0.00019804
53,10372.7,0.47179,0.83265,1.17349,0.87087,0.88374,0.91259,0.71188,0.89995,1.16566,1.62707,0.00019408,0.00019408,0.00019408
54,10566.3,0.45559,0.83916,1.15978,0.89656,0.86364,0.91655,0.72196,0.84648,1.15989,1.59068,0.00019012,0.00019012,0.00019012
55,10760.3,0.46263,0.80735,1.16092,0.8659,0.86644,0.92877,0.70838,0.88097,1.19901,1.61242,0.00018616,0.00018616,0.00018616
56,10951.8,0.46128,0.81573,1.15308,0.86187,0.82021,0.89618,0.69029,0.86773,1.22415,1.62214,0.0001822,0.0001822,0.0001822
57,11146.2,0.46305,0.79334,1.16487,0.88534,0.84298,0.91695,0.71765,0.82912,1.16895,1.60177,0.00017824,0.00017824,0.00017824
58,11339.8,0.45318,0.7961,1.16606,0.93734,0.8549,0.9455,0.73337,0.83075,1.09361,1.56621,0.00017428,0.00017428,0.00017428
59,11533.2,0.44517,0.76701,1.15234,0.91296,0.86667,0.93034,0.72311,0.8453,1.09479,1.63059,0.00017032,0.00017032,0.00017032
60,11728.5,0.47081,0.75376,1.16838,0.91203,0.88512,0.94667,0.75054,0.84844,1.06074,1.63916,0.00016636,0.00016636,0.00016636
61,11922.1,0.43563,0.73055,1.14199,0.90686,0.86497,0.91751,0.72739,0.8224,1.04997,1.61748,0.0001624,0.0001624,0.0001624
62,12116,0.43574,0.75574,1.13103,0.89185,0.88832,0.91566,0.7214,0.81377,1.0672,1.59024,0.00015844,0.00015844,0.00015844
63,12308.3,0.44594,0.74071,1.13728,0.79453,0.92868,0.89958,0.70399,0.86356,1.10852,1.62326,0.00015448,0.00015448,0.00015448
64,12501.8,0.42196,0.74289,1.11596,0.90924,0.89162,0.92715,0.72964,0.81843,1.04719,1.57145,0.00015052,0.00015052,0.00015052
65,12695.8,0.43316,0.70477,1.13178,0.89554,0.87472,0.91456,0.71983,0.81303,1.09637,1.53425,0.00014656,0.00014656,0.00014656
66,12888.9,0.41104,0.69846,1.10968,0.89159,0.83468,0.89733,0.7034,0.82158,1.1414,1.56089,0.0001426,0.0001426,0.0001426
67,13082.1,0.41241,0.6839,1.11051,0.90933,0.86034,0.90833,0.71719,0.80594,1.10747,1.55732,0.00013864,0.00013864,0.00013864
68,13275.2,0.42067,0.68937,1.10897,0.91697,0.87358,0.91891,0.72184,0.84552,1.06393,1.58506,0.00013468,0.00013468,0.00013468
69,13474.9,0.4186,0.69811,1.11684,0.91976,0.86421,0.91296,0.72973,0.83583,1.03575,1.58344,0.00013072,0.00013072,0.00013072
70,13667.6,0.39243,0.70227,1.11616,0.91206,0.87639,0.93185,0.72748,0.86742,1.0269,1.63672,0.00012676,0.00012676,0.00012676
71,13860.2,0.40706,0.70011,1.11587,0.9104,0.89573,0.96103,0.7487,0.85809,0.96482,1.6476,0.0001228,0.0001228,0.0001228
72,14054.3,0.40556,0.66548,1.10245,0.84112,0.95168,0.96421,0.75108,0.82914,0.95075,1.6232,0.00011884,0.00011884,0.00011884
73,14245.7,0.39762,0.69137,1.11151,0.91024,0.88633,0.96246,0.75092,0.83872,0.95148,1.63149,0.00011488,0.00011488,0.00011488
74,14439.6,0.41084,0.66254,1.10644,0.91515,0.87072,0.95763,0.74373,0.86042,1.00738,1.6315,0.00011092,0.00011092,0.00011092
75,14631.5,0.40951,0.66118,1.12005,0.89968,0.89099,0.95395,0.74412,0.8715,1.00753,1.63061,0.00010696,0.00010696,0.00010696
76,14825.3,0.38574,0.65722,1.10607,0.88901,0.86122,0.93654,0.72841,0.86179,1.0386,1.61358,0.000103,0.000103,0.000103
77,15019.3,0.39821,0.63187,1.09637,0.89345,0.88835,0.92007,0.71897,0.87835,1.0304,1.61879,9.904e-05,9.904e-05,9.904e-05
78,15212.8,0.37527,0.62889,1.08495,0.88795,0.88456,0.91343,0.72419,0.83415,1.00256,1.58894,9.508e-05,9.508e-05,9.508e-05
79,15405.6,0.39556,0.68243,1.11199,0.88301,0.87971,0.91455,0.71484,0.84568,0.98999,1.61697,9.112e-05,9.112e-05,9.112e-05
80,15598,0.3755,0.61919,1.094,0.9169,0.89169,0.92851,0.73159,0.82032,0.93702,1.62489,8.716e-05,8.716e-05,8.716e-05
81,15790.3,0.36616,0.59693,1.08659,0.92759,0.9001,0.93207,0.73202,0.81841,0.91896,1.60627,8.32e-05,8.32e-05,8.32e-05
82,15982.8,0.40506,0.6431,1.11929,0.92912,0.90299,0.95364,0.74299,0.84203,0.94111,1.60523,7.924e-05,7.924e-05,7.924e-05
83,16174.3,0.39282,0.64109,1.1109,0.83787,0.95047,0.96461,0.75302,0.82526,0.9203,1.60381,7.528e-05,7.528e-05,7.528e-05
84,16365.9,0.38507,0.65088,1.0931,0.92267,0.88283,0.96406,0.76296,0.82683,0.94217,1.60004,7.132e-05,7.132e-05,7.132e-05
85,16557.4,0.37354,0.61448,1.0812,0.93575,0.87133,0.9686,0.75745,0.82585,0.93857,1.59067,6.736e-05,6.736e-05,6.736e-05
86,16749.3,0.37585,0.63405,1.08768,0.9245,0.88187,0.96479,0.75333,0.8356,0.95209,1.59901,6.34e-05,6.34e-05,6.34e-05
87,16941.5,0.36785,0.6185,1.07364,0.92219,0.88801,0.94207,0.7464,0.82365,0.93545,1.58536,5.944e-05,5.944e-05,5.944e-05
88,17136.7,0.3671,0.6191,1.0838,0.90752,0.90291,0.94086,0.74667,0.80359,0.92167,1.56447,5.548e-05,5.548e-05,5.548e-05
89,17330.6,0.36219,0.61462,1.08556,0.83617,0.94329,0.93178,0.74092,0.79508,0.90308,1.57881,5.152e-05,5.152e-05,5.152e-05
90,17524.9,0.3407,0.5778,1.06464,0.84331,0.94511,0.94788,0.74856,0.80016,0.89225,1.62563,4.756e-05,4.756e-05,4.756e-05
